network,arm,condition,sparsifier,target_ret,realized_ret,spar_seed,leiden_seed,gamma,m_sparse,comm,comm_size,core_size,core_emb_mean,periph_emb_mean,core_cohesion,periph_cohesion
email-Eu-core,real,jitter,,1.0,1.0,,101,1.0,16064,0,230,115,0.8739480187233132,0.5295190951366522,1.0,0.9652173913043478
email-Eu-core,real,jitter,,1.0,1.0,,101,1.0,16064,1,148,74,0.9562131883009791,0.603707413444486,1.0,0.9864864864864865
email-Eu-core,real,jitter,,1.0,1.0,,101,1.0,16064,2,133,67,0.8543344940177413,0.5076636420139036,0.9850746268656716,0.9545454545454546
email-Eu-core,real,jitter,,1.0,1.0,,101,1.0,16064,3,127,64,0.8959625912946235,0.5435014867160615,1.0,1.0
email-Eu-core,real,jitter,,1.0,1.0,,101,1.0,16064,4,127,64,0.9195543738372072,0.5267897341637532,0.59375,0.4603174603174603
email-Eu-core,real,jitter,,1.0,1.0,,101,1.0,16064,5,97,49,0.9499433245061324,0.6263004328303747,1.0,0.9791666666666666
email-Eu-core,real,jitter,,1.0,1.0,,101,1.0,16064,6,69,35,0.6873534748067683,0.37684935660367336,0.9428571428571428,0.9705882352941176
email-Eu-core,real,jitter,,1.0,1.0,,101,1.0,16064,7,55,28,0.8813837170310295,0.5457701230351126,1.0,1.0
email-Eu-core,real,dspar,dspar,0.8,0.801295,200,300,1.0,12872,0,230,115,0.8739480187233132,0.5295190951366522,0.8521739130434782,0.8956521739130435
email-Eu-core,real,dspar,dspar,0.8,0.801295,200,300,1.0,12872,1,148,74,0.9562131883009791,0.603707413444486,1.0,0.9864864864864865
email-Eu-core,real,dspar,dspar,0.8,0.801295,200,300,1.0,12872,2,133,67,0.8543344940177413,0.5076636420139036,1.0,0.9242424242424242
email-Eu-core,real,dspar,dspar,0.8,0.801295,200,300,1.0,12872,3,127,64,0.8959625912946235,0.5435014867160615,0.953125,0.6984126984126984
email-Eu-core,real,dspar,dspar,0.8,0.801295,200,300,1.0,12872,4,127,64,0.9195543738372072,0.5267897341637532,1.0,0.9047619047619048
email-Eu-core,real,dspar,dspar,0.8,0.801295,200,300,1.0,12872,5,97,49,0.9499433245061324,0.6263004328303747,1.0,0.9375
email-Eu-core,real,dspar,dspar,0.8,0.801295,200,300,1.0,12872,6,69,35,0.6873534748067683,0.37684935660367336,1.0,0.9411764705882353
email-Eu-core,real,dspar,dspar,0.8,0.801295,200,300,1.0,12872,7,55,28,0.8813837170310295,0.5457701230351126,1.0,1.0
email-Eu-core,real,dspar,dspar,0.5,0.499938,200,300,1.0,8031,0,230,115,0.8739480187233132,0.5295190951366522,0.7478260869565218,0.8173913043478261
email-Eu-core,real,dspar,dspar,0.5,0.499938,200,300,1.0,8031,1,148,74,0.9562131883009791,0.603707413444486,1.0,0.9459459459459459
email-Eu-core,real,dspar,dspar,0.5,0.499938,200,300,1.0,8031,2,133,67,0.8543344940177413,0.5076636420139036,1.0,0.9393939393939394
email-Eu-core,real,dspar,dspar,0.5,0.499938,200,300,1.0,8031,3,127,64,0.8959625912946235,0.5435014867160615,0.953125,0.6984126984126984
email-Eu-core,real,dspar,dspar,0.5,0.499938,200,300,1.0,8031,4,127,64,0.9195543738372072,0.5267897341637532,1.0,0.9206349206349206
email-Eu-core,real,dspar,dspar,0.5,0.499938,200,300,1.0,8031,5,97,49,0.9499433245061324,0.6263004328303747,1.0,0.9583333333333334
