network,arm,target_ret,realized_ret,seed,n_clusters,frag_nodes,frag_node_frac,AMI,ARI,NMI,AMI_chance,avgF1_ge3,avgF1_chance,resolution,detector
email-Eu-core,baseline,1.0,1.0,100,8,0,0.0,0.5774916561472875,0.35830612609664525,0.6021580624218642,0.0031685174373844325,,,1.0,leiden
email-Eu-core,baseline,1.0,1.0,101,8,0,0.0,0.562123697873622,0.3322208274752097,0.5877173591075322,0.006149077276475094,,,1.0,leiden
email-Eu-core,baseline,1.0,1.0,102,8,0,0.0,0.5597120583264065,0.33017793454725614,0.5853449135790628,-0.005608015025109555,,,1.0,leiden
email-Eu-core,baseline,1.0,1.0,103,8,0,0.0,0.5574707531761818,0.3281319241379798,0.5833760851513908,0.000711658891965427,,,1.0,leiden
email-Eu-core,baseline,1.0,1.0,104,8,0,0.0,0.5561767481413069,0.3265287907966508,0.5821614025753616,0.0021352269670617016,,,1.0,leiden
email-Eu-core,kn,0.5,0.50386,300,10,0,0.0,0.6167600584958833,0.41273141206795105,0.6437455203361336,-0.003915855412058575,,,1.0,leiden
email-Eu-core,kn,0.5,0.50417,301,9,0,0.0,0.5613439869732815,0.3647522275159891,0.589685321958453,0.005139336291922184,,,1.0,leiden
email-Eu-core,kn,0.5,0.50118,302,10,0,0.0,0.5927172033436117,0.397237300942245,0.6211721505939118,-0.0007197715741648639,,,1.0,leiden
email-Eu-core,ld,0.5,0.49994,300,8,0,0.0,0.4340789625273736,0.2477278803961658,0.46706686453767393,0.006381683061878292,,,1.0,leiden
email-Eu-core,ld,0.5,0.49994,301,8,0,0.0,0.4245372832682904,0.23511989053767793,0.4577603626787,-0.0024262372452535266,,,1.0,leiden
email-Eu-core,ld,0.5,0.49994,302,8,0,0.0,0.43078081270998586,0.22920959039721558,0.46403324804114465,0.0006872210530812482,,,1.0,leiden
email-Eu-core,lsim,0.5,0.50012,300,13,9,0.009127789046653144,0.5992940273114397,0.39486952260321906,0.6335062923506921,-0.006246895838842619,,,1.0,leiden
email-Eu-core,lsim,0.5,0.50012,301,12,0,0.0,0.5932944704058636,0.3824192773281086,0.6265604867874509,0.0036467178721206507,,,1.0,leiden
email-Eu-core,lsim,0.5,0.50012,302,14,9,0.009127789046653144,0.6121381528951583,0.4095625280548092,0.6474310341829016,0.006276603964561259,,,1.0,leiden
email-Eu-core,resmatch,1.0,1.0,100,13,0,0.0,0.6364795240396134,0.5039395584830674,0.6684466421290994,0.004357237813990203,,,1.5,leiden
email-Eu-core,mst_jaccard,0.5,0.5,300,16,12,0.012170385395537525,0.600498371543742,0.4123510285940337,0.6394339868557405,-0.003777786905650293,,,1.0,leiden
