arm,detector,mu,d_nom,lfr_seed,gen_mode,n,m,d_avg_real,n_comm_planted,mu_real,comm_size_min,comm_size_max,deg_min,deg_max,deg_cv,sparsifier,target_ret,realized_ret,knob,status,lspar_floor,m_sparse,Q_base_mean,Q_base_std,Q_base_best,AMI_base_mean,AMI_base_std,ARI_base_mean,nc_base,cv_base,T_leiden_orig,T_sparsify,T_detect_sparse,T_pipeline,Q_orig_transfer,Q_orig_transfer_std,AMI,AMI_std,ARI,AMI_chance,ARI_chance,nc_sparse,cv_sparse,budget,n_restarts,Q_matched_best,AMI_at_matched,ARI_at_matched,nc_matched,dQ_vs_matched,dQ_vs_base_best,dQ_vs_base_mean,dAMI_vs_base_mean,dAMI_vs_matched,dARI_vs_base_mean,speedup_pipeline,speedup_detect_only,Q_resmatch,AMI_resmatch,ARI_resmatch,nc_resmatch,gamma_resmatch
A,leiden,0.3,10,1,maxdeg_cap85_recal,10000,50832,10.1664,100,0.3651243311299968,20,446,1,583,1.9909873364879545,lspar,0.5,0.49772,0.5,ok,0.16531,25300,0.6135561130122431,0.0003443823356272,0.6137914796789913,0.8439552601418707,0.0034458760653296,0.7915346208268275,46.8,0.4511533723073302,0.4480999556006281,0.0565058050051447,0.3013235066682682,0.357829311673413,0.5990708995608635,0.0003111150399165,0.7861428668974769,0.0024428806208804,0.7561023148966429,-0.0012457784901111,-0.0001816589499872,54.66666666666666,0.5271581884336184,0.357829311673413,1,0.6135594487163873,0.850460108147746,0.8059242286913308,49,-0.0144885491555238,-0.0147205801181278,-0.0144852134513796,-0.0578123932443938,-0.064317241250269,-0.0354323059301845,1.2522729161148325,1.4871058702165856,0.6135594487163873,0.850460108147746,0.8059242286913308,49,1.0
A,leiden,0.3,10,1,maxdeg_cap85_recal,10000,50832,10.1664,100,0.3651243311299968,20,446,1,583,1.9909873364879545,lspar,0.2,0.16531,0.0,ok,0.16531,8403,0.6135561130122431,0.0003443823356272,0.6137914796789913,0.8439552601418707,0.0034458760653296,0.7915346208268275,46.8,0.4511533723073302,0.4480999556006281,0.1721964570024283,0.2539431666688567,0.426139623671285,0.2219076971067984,0.0,0.4404710965793568,0.0,0.0933394976851744,0.0006014216943381,6.341167082569564e-05,1600.0,1.5064235792100442,0.426139623671285,1,0.6135594487163873,0.850460108147746,0.8059242286913308,49,-0.3916517516095888,-0.3918837825721928,-0.3916484159054446,-0.4034841635625139,-0.4099890115683891,-0.698195123141653,1.0515331846875682,1.76456788138329,0.1985769656853954,0.2955730804030806,0.0318547700352159,1731,120.0
A,leiden,0.3,10,1,maxdeg_cap85_recal,10000,50832,10.1664,100,0.3651243311299968,20,446,1,583,1.9909873364879545,lspar,0.15,0.16531,0.0,floor,0.16531,8403,0.6135561130122431,0.0003443823356272,0.6137914796789913,0.8439552601418707,0.0034458760653296,0.7915346208268275,46.8,0.4511533723073302,0.4480999556006281,0.050056387008226,0.2542739406659772,0.3043303276742032,0.2219076971067984,0.0,0.4404710965793568,0.0,0.0933394976851744,-0.0013200724922497,-0.0001387670807078,1600.0,1.5064235792100442,0.3043303276742032,1,0.6135594487163873,0.850460108147746,0.8059242286913308,49,-0.3916517516095888,-0.3918837825721928,-0.3916484159054446,-0.4034841635625139,-0.4099890115683891,-0.698195123141653,1.4724130816181276,1.762272431170079,0.1985769656853954,0.2955730804030806,0.0318547700352159,1731,120.0
A,leiden,0.3,10,1,maxdeg_cap85_recal,10000,50832,10.1664,100,0.3651243311299968,20,446,1,583,1.9909873364879545,lspar,0.05,0.16531,0.0,floor,0.16531,8403,0.6135561130122431,0.0003443823356272,0.6137914796789913,0.8439552601418707,0.0034458760653296,0.7915346208268275,46.8,0.4511533723073302,0.4480999556006281,0.0498057220029295,0.2500920450014139,0.2998977670043435,0.2219076971067984,0.0,0.4404710965793568,0.0,0.0933394976851744,-0.0010182246913651,-3.093841322331489e-05,1600.0,1.5064235792100442,0.2998977670043435,1,0.6135594487163873,0.850460108147746,0.8059242286913308,49,-0.3916517516095888,-0.3918837825721928,-0.3916484159054446,-0.4034841635625139,-0.4099890115683891,-0.698195123141653,1.4941756988611996,1.7917401395078147,0.1985769656853954,0.2955730804030806,0.0318547700352159,1731,120.0
A,leiden,0.3,10,1,maxdeg_cap85_recal,10000,50832,10.1664,100,0.3651243311299968,20,446,1,583,1.9909873364879545,dspar,0.5,0.50092,0.5,ok,0.16531,25463,0.6135561130122431,0.0003443823356272,0.6137914796789913,0.8439552601418707,0.0034458760653296,0.7915346208268275,46.8,0.4511533723073302,0.4480999556006281,0.0081458420027047,0.4165023136665695,0.4246481556692743,0.5086742353100049,0.0034949052983697,0.5569281522881114,0.0055035200940128,0.4235528232054301,0.0008051808078738,0.0001666756058258,69.66666666666667,0.993986164099264,0.4246481556692743,1,0.6135594487163873,0.850460108147746,0.8059242286913308,49,-0.1048852134063824,-0.1051172443689864,-0.1048818777022382,-0.2870271078537593,-0.2935319558596345,-0.3679817976213973,1.055226425967616,1.0758642650887027,0.6131102217752554,0.8930243796044095,0.8952003773127966,71,2.0
A,leiden,0.3,10,1,maxdeg_cap85_recal,10000,50832,10.1664,100,0.3651243311299968,20,446,1,583,1.9909873364879545,dspar,0.2,0.1993,0.2,ok,0.16531,10131,0.6135561130122431,0.0003443823356272,0.6137914796789913,0.8439552601418707,0.0034458760653296,0.7915346208268275,46.8,0.4511533723073302,0.4480999556006281,0.0077493109929491,0.3569667443322639,0.364716055325213,0.2250568082001698,0.0014039882126155,0.2311892648537686,0.0027009190923881,0.0936443570604921,-0.0005414697149252,-3.536440997141323e-05,1952.6666666666667,4.7173215596791245,0.364716055325213,1,0.6135594487163873,0.850460108147746,0.8059242286913308,49,-0.3885026405162175,-0.3887346714788214,-0.3884993048120733,-0.6127659952881022,-0.6192708432939774,-0.6978902637663353,1.2286268977137915,1.255298883482372,0.1985769656853954,0.2955730804030806,0.0318547700352159,1731,120.0
A,leiden,0.3,10,1,maxdeg_cap85_recal,10000,50832,10.1664,100,0.3651243311299968,20,446,1,583,1.9909873364879545,dspar,0.15,0.14949,0.15,ok,0.16531,7599,0.6135561130122431,0.0003443823356272,0.6137914796789913,0.8439552601418707,0.0034458760653296,0.7915346208268275,46.8,0.4511533723073302,0.4480999556006281,0.0077605469996342,0.374212168668843,0.3819727156684773,0.1668191328427034,0.0016730770301138,0.1945801641348262,0.0003856560794573,0.0554398924423125,0.0003071718761725,3.426239283990702e-06,3195.333333333333,4.532496771280873,0.3819727156684773,1,0.6135594487163873,0.850460108147746,0.8059242286913308,49,-0.4467403158736839,-0.4469723468362878,-0.4467369801695396,-0.6493750960070445,-0.6558799440129197,-0.7360947283845148,1.1731203230482676,1.1974489156635943,0.1985769656853954,0.2955730804030806,0.0318547700352159,1731,120.0
A,leiden,0.3,10,1,maxdeg_cap85_recal,10000,50832,10.1664,100,0.3651243311299968,20,446,1,583,1.9909873364879545,dspar,0.05,0.04971,0.05,ok,0.16531,2527,0.6135561130122431,0.0003443823356272,0.6137914796789913,0.8439552601418707,0.0034458760653296,0.7915346208268275,46.8,0.4511533723073302,0.4480999556006281,0.0082088299968745,0.4415434863355282,0.4497523163324028,0.0509731571915599,0.0,0.0942814260858187,1.3877787807814457e-17,0.007261129949447,-3.720419560452559e-05,-1.4733334335605651e-06,7475.0,1.2683749445648949,0.4497523163324028,1,0.6135594487163873,0.850460108147746,0.8059242286913308,49,-0.5625862915248274,-0.5628183224874314,-0.5625829558206832,-0.7496738340560519,-0.7561786820619272,-0.7842734908773804,0.99632606509901,1.0148489774348468,0.1985769656853954,0.2955730804030806,0.0318547700352159,1731,120.0
A,leiden,0.3,10,1,maxdeg_cap85_recal,10000,50832,10.1664,100,0.3651243311299968,20,446,1,583,1.9909873364879545,random,0.5,0.5,0.5,ok,0.16531,25416,0.6135561130122431,0.0003443823356272,0.6137914796789913,0.8439552601418707,0.0034458760653296,0.7915346208268275,46.8,0.4511533723073302,0.4480999556006281,0.0008852099999785,0.3781240856696968,0.3790092956696753,0.5301741116015427,0.0008427878736618,0.5875354863697978,0.0022414072976355,0.5237813380140258,0.0002677348884643,0.0001589670778641,347.6666666666667,2.825511049627861,0.3790092956696753,1,0.6135594487163873,0.850460108147746,0.8059242286913308,49,-0.0833853371148446,-0.0836173680774485,-0.0833820014107004,-0.2564197737720729,-0.2629246217779482,-0.2677532828128016,1.182292784689821,1.1850605993717562,0.4316554535983615,0.7249419674352151,0.4453418705322099,249,15.0
A,leiden,0.3,10,1,maxdeg_cap85_recal,10000,50832,10.1664,100,0.3651243311299968,20,446,1,583,1.9909873364879545,random,0.2,0.19999,0.2,ok,0.16531,10166,0.6135561130122431,0.0003443823356272,0.6137914796789913,0.8439552601418707,0.0034458760653296,0.7915346208268275,46.8,0.4511533723073302,0.4480999556006281,0.0007985710035427,0.3760286573330328,0.3768272283365756,0.2979571391106702,0.002736226621865,0.3149779762667983,0.0045862096720735,0.2268588482358981,1.395021300599817e-05,-3.117134128818003e-05,2659.0,6.161088029039868,0.3768272283365756,1,0.6135594487163873,0.850460108147746,0.8059242286913308,49,-0.3156023096057171,-0.3158343405683211,-0.3155989739015729,-0.5289772838750724,-0.5354821318809476,-0.5646757725909294,1.1891390056357418,1.1916643768024433,0.1985769656853954,0.2955730804030806,0.0318547700352159,1731,120.0
