arm,detector,is_proxy,mu,d_nom,lfr_seed,gen_mode,n,m,d_avg_real,n_comm_planted,mu_real,comm_size_min,comm_size_max,deg_min,deg_max,deg_cv,k_fixed,sparsifier,target_ret,realized_ret,knob,status,m_sparse,Q_base,AMI_base,ARI_base,nc_base,cv_base,T_base,Q_orig_transfer,AMI,ARI,nc_sparse,cv_sparse,AMI_chance,ARI_chance,T_sparsify,T_detect_sparse,T_pipeline,dQ,dAMI,dARI,dcv,speedup_pipeline,speedup_detect_only
B,metis,0,0.5,10,1,maxdeg_cap85,10000,56230,11.246,102,0.5786412946825538,20,491,1,777,2.285036716667531,102,lspar,0.5,0.48949,0.5,ok,27524,0.3010599377970781,0.4404693072047715,0.213921035021522,102,0.0171347599924831,0.1962007909969543,0.2765009841347664,0.4336323109645217,0.2012237581332253,102,0.0151102614140192,-0.0006041483028522,1.5433697365231164e-05,0.2555003499946906,0.1259508289949735,0.3814511789896642,-0.0245589536623117,-0.0068369962402498,-0.0126972768882966,-0.0020244985784638,0.514353610117615,1.5577570434632413
B,metis,0,0.5,10,1,maxdeg_cap85,10000,56230,11.246,102,0.5786412946825538,20,491,1,777,2.285036716667531,102,lspar,0.2,0.15444,0.0,ok,8684,0.3010599377970781,0.4404693072047715,0.213921035021522,102,0.0171347599924831,0.1962007909969543,0.1798499617102581,0.1897647558324849,0.0420217261062818,102,0.0112392170545816,0.0008532798557175,1.811989208519816e-05,0.1910876239926437,0.0106793220038525,0.2017669459964963,-0.1212099760868199,-0.2507045513722866,-0.1718993089152401,-0.0058955429379014,0.9724129491475838,18.372026887678327
B,metis,0,0.5,10,1,maxdeg_cap85,10000,56230,11.246,102,0.5786412946825538,20,491,1,777,2.285036716667531,102,lspar,0.15,0.15444,0.0,floor,8684,0.3010599377970781,0.4404693072047715,0.213921035021522,102,0.0171347599924831,0.1962007909969543,0.1798499617102581,0.1897647558324849,0.0420217261062818,102,0.0112392170545816,-0.0005065854228509,-0.0001046490589442,0.062772542994935,0.0108811250029248,0.0736536679978598,-0.1212099760868199,-0.2507045513722866,-0.1718993089152401,-0.0058955429379014,2.663829193172772,18.031296483058146
B,metis,0,0.5,10,1,maxdeg_cap85,10000,56230,11.246,102,0.5786412946825538,20,491,1,777,2.285036716667531,102,lspar,0.05,0.15444,0.0,floor,8684,0.3010599377970781,0.4404693072047715,0.213921035021522,102,0.0171347599924831,0.1962007909969543,0.1798499617102581,0.1897647558324849,0.0420217261062818,102,0.0112392170545816,-9.236325296796786e-05,2.323526504475933e-05,0.0627829429940902,0.0107296619971748,0.0735126049912651,-0.1212099760868199,-0.2507045513722866,-0.1718993089152401,-0.0058955429379014,2.6689408030128603,18.285831468746604
B,metis,0,0.5,10,1,maxdeg_cap85,10000,56230,11.246,102,0.5786412946825538,20,491,1,777,2.285036716667531,102,dspar,0.5,0.5006,0.5,ok,28149,0.3010599377970781,0.4404693072047715,0.213921035021522,102,0.0171347599924831,0.1962007909969543,0.2184470463132085,0.1857776988051463,0.0551814771801092,102,0.0139885667600365,-0.0005123077814417,-0.0001529197588262,0.010063342997455,0.1312248619942693,0.1412882049917243,-0.0826128914838695,-0.2546916083996251,-0.1587395578414127,-0.0031461932324465,1.388656547858658,1.4951495319958694
B,metis,0,0.5,10,1,maxdeg_cap85,10000,56230,11.246,102,0.5786412946825538,20,491,1,777,2.285036716667531,102,dspar,0.2,0.20012,0.2,ok,11253,0.3010599377970781,0.4404693072047715,0.213921035021522,102,0.0171347599924831,0.1962007909969543,0.1513730733402979,0.0931672931447081,0.0170493363825675,102,0.0146996598600103,-0.0002237356299497,6.036088455504119e-05,0.0096590329994796,0.0625541760018677,0.0722132090013474,-0.1496868644567801,-0.3473020140600633,-0.1968716986389544,-0.0024351001324727,2.716965409933429,3.136493892767385
B,metis,0,0.5,10,1,maxdeg_cap85,10000,56230,11.246,102,0.5786412946825538,20,491,1,777,2.285036716667531,102,dspar,0.15,0.15031,0.15,ok,8452,0.3010599377970781,0.4404693072047715,0.213921035021522,102,0.0171347599924831,0.1962007909969543,0.1285282601636549,0.073184798370862,0.0131874422661267,102,0.0144899965493439,-0.00143977259012,-0.00020682613269,0.0084097650033072,0.0451201149990083,0.0535298800023156,-0.1725316776334232,-0.3672845088339094,-0.2007335927553952,-0.0026447634431391,3.665257441049129,4.348410703325254
B,metis,0,0.5,10,1,maxdeg_cap85,10000,56230,11.246,102,0.5786412946825538,20,491,1,777,2.285036716667531,102,dspar,0.05,0.04964,0.05,ok,2791,0.3010599377970781,0.4404693072047715,0.213921035021522,102,0.0171347599924831,0.1962007909969543,0.0483001688683097,0.021974869604636,0.0032787180264577,102,0.0125267713318316,-0.0017015085320675,-0.000158781083043,0.0083416699999361,0.0117184929986251,0.0200601629985612,-0.2527597689287684,-0.4184944376001354,-0.2106423169950642,-0.0046079886606514,9.780617984561037,16.742834681897506
B,metis,0,0.5,10,1,maxdeg_cap85,10000,56230,11.246,102,0.5786412946825538,20,491,1,777,2.285036716667531,102,random,0.5,0.5,0.5,ok,28115,0.3010599377970781,0.4404693072047715,0.213921035021522,102,0.0171347599924831,0.1962007909969543,0.2227447417903824,0.2316828337014551,0.0843388195858292,102,0.0148377895927931,0.0026449949718947,0.0002201554472818,0.0010143100007553,0.1430289889976848,0.1440432989984401,-0.0783151960066956,-0.2087864735033163,-0.1295822154356927,-0.0022969703996899,1.36209592782986,1.3717554208547906
B,metis,0,0.5,10,1,maxdeg_cap85,10000,56230,11.246,102,0.5786412946825538,20,491,1,777,2.285036716667531,102,random,0.2,0.2,0.2,ok,11246,0.3010599377970781,0.4404693072047715,0.213921035021522,102,0.0171347599924831,0.1962007909969543,0.1408940857948933,0.1037499106079015,0.0229956709290431,102,0.0149063744753712,2.8145485374101655e-05,-1.3894413456576794e-05,0.0008137240001815,0.0668513900018297,0.0676651140020112,-0.1601658520021848,-0.3367193965968699,-0.1909253640924789,-0.0022283855171118,2.8995856120352137,2.934879753309308
B,metis,0,0.5,10,1,maxdeg_cap85,10000,56230,11.246,102,0.5786412946825538,20,491,1,777,2.285036716667531,102,random,0.15,0.14999,0.15,ok,8434,0.3010599377970781,0.4404693072047715,0.213921035021522,102,0.0171347599924831,0.1962007909969543,0.1197349500028922,0.0833393206937263,0.0176615743567502,102,0.0152446712001276,-0.0007956957790703,-0.000149588129129,0.0008276259977719,0.0503871620021527,0.0512147879999247,-0.1813249877941858,-0.3571299865110452,-0.1962594606647717,-0.0018900887923555,3.830940215885354,3.8938646909419456
B,metis,0,0.5,10,1,maxdeg_cap85,10000,56230,11.246,102,0.5786412946825538,20,491,1,777,2.285036716667531,102,random,0.05,0.05001,0.05,ok,2812,0.3010599377970781,0.4404693072047715,0.213921035021522,102,0.0171347599924831,0.1962007909969543,0.0486700808577256,0.0233294333293666,0.0038888427166238,102,0.0121967208707914,0.0028891302999159,0.000313221060815,0.0007630679974681,0.0188996229990152,0.0196626909964834,-0.2523898569393524,-0.4171398738754048,-0.2100321923048981,-0.0049380391216916,9.978328552894604,10.38120130794022
B,eigen_proxy,1,0.5,10,1,maxdeg_cap85,10000,56230,11.246,102,0.5786412946825538,20,491,1,777,2.285036716667531,102,lspar,0.5,0.48949,0.5,ok,27524,0.2185141981361391,0.1281074675172832,0.0542004308376777,67,2.522011022973532,1.017131487998995,0.1925381495533779,0.1909877922048636,0.0293072459754001,72,4.535709602697246,-0.0004846231378656,-0.0006741874252762,0.2557102359933196,1.3887614749983186,1.6444717109916382,-0.0259760485827611,0.0628803246875804,-0.0248931848622776,2.0136985797237137,0.6185156492510602,0.7324018604420363
B,eigen_proxy,1,0.5,10,1,maxdeg_cap85,10000,56230,11.246,102,0.5786412946825538,20,491,1,777,2.285036716667531,102,lspar,0.2,0.15444,0.0,ok,8684,0.2185141981361391,0.1281074675172832,0.0542004308376777,67,2.522011022973532,1.017131487998995,0.1948411463562544,0.3159896599678188,0.0829994316156894,1316,2.049817845565796,0.0013381208250071,5.695751218774447e-05,0.1910685139955603,0.0020493870033533,0.1931179009989136,-0.0236730517798846,0.1878821924505356,0.0287990007780116,-0.4721931774077363,5.26689386503179,496.3101094789334
B,eigen_proxy,1,0.5,10,1,maxdeg_cap85,10000,56230,11.246,102,0.5786412946825538,20,491,1,777,2.285036716667531,102,lspar,0.15,0.15444,0.0,floor,8684,0.2185141981361391,0.1281074675172832,0.0542004308376777,67,2.522011022973532,1.017131487998995,0.1948411463562544,0.3159896599678188,0.0829994316156894,1316,2.049817845565796,-0.0017274056803374,-0.000125261758319,0.0628027989951078,0.0020132350036874,0.0648160339987953,-0.0236730517798846,0.1878821924505356,0.0287990007780116,-0.4721931774077363,15.692590633019902,505.2224336135707
B,eigen_proxy,1,0.5,10,1,maxdeg_cap85,10000,56230,11.246,102,0.5786412946825538,20,491,1,777,2.285036716667531,102,lspar,0.05,0.15444,0.0,floor,8684,0.2185141981361391,0.1281074675172832,0.0542004308376777,67,2.522011022973532,1.017131487998995,0.1948411463562544,0.3159896599678188,0.0829994316156894,1316,2.049817845565796,-0.0002309817959099,8.900443395008967e-07,0.0628826299944194,0.0020457690043258,0.0649283989987452,-0.0236730517798846,0.1878821924505356,0.0287990007780116,-0.4721931774077363,15.665433056783844,497.1878476251404
